41
 simulation time
 STEAM DOME PRESSURE
 REACTOR POWER
 RECIRCULATION FLOW
 FINE COLLAPSED LEVEL OF REACTOR VESSEL
 COARSE COLLAPSED LEVEL OF REACTOR VESSEL
 FEEDWATER FLOW
 STEAM FLOW
 FLOW OF SYSTEM 314
 FLOW OF SYSTEM 323
 FLOW OF SYSTEM 327
 PRIMARY STEAM LINE BREAK FLOW
 SECONDARY STEAM LINE BREAK FLOW
 DRYWELL PRESSURE
 WETWELL PRESSURE
 ROTATION SPEED OF RECIRCULATION PUMP
 TOTAL STEAM LINE BREAK FLOW
 GAS TEMPERATURE OF DRYWELL
 GAS TEMPERATURE OF WETWELL
 LIQUID TEMPERATURE OF WETWELL
 MASS OF COOLANT IN REACTOR VESSEL
 INTEGRATED STEAM LINE BREAK FLOW
 INTEGRATED ENTHALPY OF STEAM LINE BREAK FLOW
 LEVEL OF REACTOR VESSEL MEASURED FROM DC AND
 MASS FLOW OF RECIRCULATION PUMPS
 SPECIFIC ENTHALPY OF STEAM LINE BREAK FLOW
 FLOW OF SYSTEM 322
 ROTATION SPEED OF MOTOR OF RECIRCULATION PUMP
 WATER LEVEL OF WETWELL
 MASS FLOW OF LAST PIPE IN SYSTEM 314
 MASS FLOW OF VENT PIPES
 SPRAY MASS FLOW TO DRYWELL
 TEMPERATURE OF SPRAY GOING TO DRYWELL
 SPRAY MASS FLOW TO WETWELL
 TEMPERATURE OF SPRAY GOING TO WETWELL
 SIMULATION TIME STEP
 NUMBER OF ITERATIONS
 NUMBER OF ITERATIONS BY SIX-EQUATION MODEL
 INTEGRATED MASS ERROR OF LIQUID
 INTEGRATED MASS ERROR OF STEAM
 INTEGRATED MASS ERROR OF NONCONDENSABLE GAS
    3.600000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.62        1273.127        0.000000        316.7656        293.2724        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787705      -0.7791886E-01  -0.5013438E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1308334       -2.333459      -0.4529750E-11
    3.700000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.63        1273.127        0.000000        316.7656        293.2724        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787705       0.7777422E-01  -0.5017654E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1230555       -2.333459      -0.4529681E-11
    3.800000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.41        97554.64        1273.127        0.000000        316.7656        293.2724        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787705      -0.7793073E-01  -0.5013323E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1308496       -2.333459      -0.4530097E-11
    3.900000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.40        97554.65        1273.127        0.000000        316.7656        293.2724        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787705       0.7776491E-01  -0.5240258E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1230726       -2.333459      -0.4532165E-11
    4.000000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.40        97554.66        1273.127        0.000000        316.7656        293.2724        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787705      -0.7793814E-01  -0.4460938E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1308673       -2.333459      -0.4532276E-11
    4.100000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.39        97554.66        1273.127        0.000000        316.7656        293.2724        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787705       0.7775901E-01  -0.6874495E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1230909       -2.333459      -0.4531638E-11
    4.200000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.39        97554.67        1273.127        0.000000        316.7656        293.2724        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787705      -0.7794283E-01  -0.2980105E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1308860       -2.333458      -0.4531471E-11
    4.300000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.38        97554.68        1273.127        0.000000        316.7656        293.2724        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787704       0.7775575E-01  -0.7864086E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1231097       -2.333458      -0.4532082E-11
    4.400000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.38        97554.69        1273.127        0.000000        316.7656        293.2724        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787704      -0.7794523E-01  -0.2754713E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1309052       -2.333458      -0.4531860E-11
    4.500000        7.000000        1.020000        7678.679        4.302570        4.302570        1310.363        1310.363        0.000000        0.000000        0.000000        0.000000        0.000000        97380.38        97554.70        1273.127        0.000000        316.7656        293.2725        293.4326        0.000000        0.000000        0.000000        4.302570        7678.679        0.000000        0.000000        24.16481        8.787704       0.7775351E-01  -0.1849468E-09    0.000000        273.1600        0.000000        273.1600       0.1000000        7.000000        3.000000      -0.1231292       -2.333458      -0.4532262E-11
